NHC  90L INVEST    20240611 1200 264N 0847W 050 062 1009 1010 0259 10 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240611 1800 269N 0839W 055 057 1009 1010 0259 10 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240612 0000 275N 0828W 060 062 1008 1010 0259 13 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240612 1200 283N 0818W 055 036 1008 1010 0259 13 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240612 1800 286N 0814W 050 031 1009 1011 0259 13 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240613 0000 286N 0810W 055 021 1010 1012 0259 13 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  90L INVEST    20240613 0600 288N 0806W 060 021 1010 1012 0259 13 222 -999 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  01L INVEST    20240617 1800 200N 0932W 305 046 1001 1007 0463 18 371 0463 -999 -999 -999 S -999 -999 -999 -999 -9 -99N -999W -999 -999 -999 -999 
NHC  01L ONE       20240618 0000 205N 0930W 350 031 0999 1006 0500 18 371 0463 -999 -999 -999 S -999 -999 -999 -999 72 240N  989W -999 -999 -999 -999 
NHC  01L ONE       20240618 0000 205N 0930W 320 036 0999 1006 0500 18 371 0463 -999 -999 -999 S -999 -999 -999 -999 72 240N  989W -999 -999 -999 -999 
NHC  01L ONE       20240618 0600 210N 0930W 360 026 0999 1006 0500 18 371 0463 -999 -999 -999 S -999 -999 -999 -999 72 238N  995W -999 -999 -999 -999 
NHC  01L ONE       20240618 1200 216N 0927W 015 031 0999 1006 0556 18 371 0463 -999 -999 -999 S -999 -999 -999 -999 48 233N  981W -999 -999 -999 -999 
NHC  01L ONE       20240618 1800 220N 0926W 020 026 0999 1006 0667 18 649 0667 -999 -999 0667 S -999 -999 -999 -999 48 233N 1003W -999 -999 -999 -999 
NHC  01L ONE       20240619 0000 224N 0928W 315 026 0999 1006 0667 18 649 0667 -999 -999 0667 S -999 -999 -999 -999 48 233N 1002W -999 -999 -999 -999 
NHC  01L ONE       20240619 0600 226N 0934W 295 031 0998 1008 0667 18 649 0667 -999 -999 0667 S -999 -999 -999 -999 48 230N 1005W -999 -999 -999 -999 
NHC  01L ONE       20240619 1200 227N 0943W 285 036 0997 1006 0667 18 556 0667 -999 -999 0667 S -999 -999 -999 -999 36 227N 1000W -999 -999 -999 -999 
NHC  01L ONE       20240619 1200 222N 0945W 275 031 0994 1006 0667 18 556 0667 -999 -999 0667 M -999 -999 -999 -999 36 227N 1000W -999 -999 -999 -999 
NHC  01L ALBERTO   20240619 1200 222N 0945W 265 041 0995 1006 0667 18 556 0667 -999 -999 0667 M -999 -999 -999 -999 36 227N 1000W -999 -999 -999 -999 
NHC  01L ALBERTO   20240619 1800 218N 0947W 240 036 0995 1006 0667 18 556 0667 -999 -999 0667 M -999 -999 -999 -999 36 224N 1012W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 0000 215N 0955W 250 041 0993 1006 0556 23 074 0741 0093 0074 0741 M -999 -999 -999 -999 24 221N 1009W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 0000 215N 0955W 250 036 0993 1006 0556 21 074 0741 0093 0074 0741 M -999 -999 -999 -999 24 221N 1009W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 0000 215N 0955W 250 036 0993 1006 0556 21 074 0556 0093 0074 0556 M -999 -999 -999 -999 24 221N 1009W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 0600 220N 0962W 275 041 0993 1006 0463 23 111 0556 0111 0111 0482 M -999 -999 -999 -999 12 217N  986W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 0600 220N 0962W 275 041 0993 1006 0463 23 111 0556 0111 0111 0463 M -999 -999 -999 -999 12 217N  986W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 1200 223N 0983W 280 057 0998 1007 0463 18 111 0334 0111 0056 0297 M -999 -999 -999 -999 12 221N 1006W -999 -999 -999 -999 
NHC  01L ALBERTO   20240620 1800 223N 1009W 280 093 1000 1008 0463 13 111 -999 -999 -999 -999 S -999 -999 -999 -999 12 221N 1027W -999 -999 -999 -999 
